database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Pork, forequarter (chop, roast, neck), separable fat, raw",20.42,0.096,0.392,0.003,0.001,0.043,0.003,0.004,0.5,0,0.055,0.003,0.26,1.1,0.009,0.009,0.09,0.47,1.6
"Pork, forequarter, separable fat, BBQ'd, no added fat",21.79,0.115,0.345,0.003,0.002,0.053,0.003,0.009,0.46,0,0.06,0.001,0.28,1.2,0.009,0.01,0.11,0.86,1.9
"Pork, forequarter chop, lean, raw",4.76,0.195,0.742,0.007,0.003,0.081,0.006,0.005,0,0,0.004,0,0.16,2,0.03,0.012,0.22,0.73,3.8
"Pork, forequarter chop, lean, BBQ'd, no added fat",6.8,0.263,0.641,0.008,0.003,0.093,0.006,0.007,0,0,0.004,0,0.22,2.2,0.04,0.016,0.24,0.73,4.1
"Pork, forequarter chop, semi-trimmed, BBQ'd, no added fat",7.71,0.254,0.623,0.007,0.003,0.091,0.005,0.007,0.03,0,0.007,0,0.22,2.14,0.038,0.016,0.23,0.74,3.97
"Pork, forequarter chop, untrimmed, raw",7.85,0.175,0.673,0.006,0.003,0.073,0.006,0.005,0.1,0,0.014,0.001,0.18,1.82,0.026,0.011,0.19,0.68,3.36
"Pork, forequarter chop, untrimmed, BBQ'd, no added fat",9.88,0.233,0.58,0.007,0.003,0.085,0.005,0.007,0.09,0,0.016,0,0.23,1.99,0.034,0.015,0.21,0.76,3.65
"Pork, forequarter shoulder roast, lean, raw",4.47,0.196,0.744,0.007,0.003,0.077,0.006,0.003,0,0,0.004,0,0.11,2,0.027,0.011,0.21,0.75,3.7
"Pork, forequarter shoulder roast, lean, BBQ'd, no added fat",6.58,0.248,0.648,0.007,0.003,0.089,0.006,0.005,0,0,0.004,0,0.15,2.2,0.037,0.016,0.23,0.76,3.8
"Pork, forequarter shoulder roast, semi-trimmed, BBQ'd, no added fat",7.48,0.24,0.629,0.006,0.003,0.087,0.005,0.005,0.03,0,0.007,0,0.16,2.14,0.035,0.016,0.22,0.76,3.69
"Pork, forequarter shoulder roast, untrimmed, raw",7.62,0.176,0.674,0.006,0.002,0.07,0.006,0.003,0.1,0,0.014,0.001,0.14,1.82,0.023,0.011,0.19,0.69,3.28
"Pork, forequarter shoulder roast, untrimmed, BBQ'd, no added fat",9.01,0.226,0.599,0.006,0.003,0.083,0.005,0.006,0.07,0,0.013,0,0.17,2.04,0.033,0.015,0.21,0.78,3.5
"Pork, leg roast, untrimmed, raw",6.85,0.216,0.691,0.008,0.002,0.1,0.003,0.008,0.04,0,0.013,0.002,0.04,2.16,0.023,0.008,0.22,0.48,3.57
"Pork, leg roast, untrimmed, baked, no added fat",9.26,0.312,0.59,0.008,0.003,0.103,0.003,0.008,0.04,0,0.015,0.001,0.06,2.21,0.033,0.014,0.26,0.54,4.18
"Pork, leg steak (rump), separable fat, raw",26.03,0.086,0.271,0.011,0.001,0.058,0.003,0.009,0.26,0,0.055,0.005,0.03,1,0.005,0.006,0.08,0.23,1.4
"Pork, leg steak (rump), separable fat, fried, no added fat",21.91,0.12,0.352,0.005,0,0.06,0.003,0.014,0.35,0,0.06,0.004,0.04,1,0.006,0.007,0.14,0.36,2.3
"Pork, leg steak (round, rump, topside, silverside), lean, raw",4.66,0.235,0.746,0.011,0,0.152,0.006,0.002,0,0,0.004,0.002,0.04,2.4,0.018,0.008,0.25,0.5,3.82
"Pork, leg steak (round, rump, topside, silverside), lean, fried, no added fat",5.89,0.288,0.678,0.011,0.001,0.13,0.006,0.004,0,0,0.004,0,0.05,2.5,0.025,0.01,0.27,0.54,4.09
"Pork, leg steak (round, rump, topside, silverside), untrimmed, raw",4.86,0.233,0.742,0.011,0,0.151,0.006,0.002,0,0,0.005,0.002,0.04,2.39,0.018,0.008,0.25,0.49,3.8
"Pork, leg steak (round, rump, topside, silverside), untrimmed, fried, no added fat",6.03,0.286,0.675,0.011,0.001,0.129,0.006,0.005,0,0,0.005,0,0.05,2.49,0.025,0.01,0.27,0.54,4.07
"Pork, loin chop, separable fat, raw",26.94,0.079,0.238,0.002,0.001,0.032,0.001,0.011,0.17,0,0.055,0.004,0.16,0.91,0.004,0.003,0.06,0.24,1.04
"Pork, loin chop, separable fat, BBQ'd, no added fat",27.65,0.088,0.214,0.002,0.001,0.049,0.001,0.011,0.17,0,0.06,0.004,0.17,1.3,0.004,0.004,0.09,0.33,1.59
"Pork, loin chop, lean, raw",4.61,0.232,0.738,0.008,0.001,0.114,0.003,0.002,0,0,0.004,0.002,0.11,2.2,0.013,0.005,0.26,0.52,4.26
"Pork, loin chop, lean, BBQ'd, no added fat",6.87,0.306,0.632,0.009,0.001,0.153,0.003,0.002,0,0,0.004,0,0.16,2.5,0.018,0.006,0.24,0.58,4
"Pork, loin chop, semi-trimmed, raw",5.73,0.224,0.712,0.007,0.001,0.11,0.003,0.002,0.01,0,0.007,0.002,0.11,2.14,0.012,0.005,0.25,0.51,4.1
"Pork, loin chop, semi-trimmed, BBQ'd, no added fat",7.9,0.295,0.611,0.008,0.001,0.148,0.003,0.003,0.01,0,0.007,0,0.16,2.44,0.017,0.006,0.23,0.57,3.88
"Pork, loin chop, untrimmed, raw",7.05,0.215,0.683,0.007,0.001,0.105,0.003,0.003,0.02,0,0.01,0.002,0.11,2.06,0.012,0.004,0.24,0.49,3.91
"Pork, loin chop, untrimmed, BBQ'd, no added fat",9.3,0.28,0.583,0.008,0.001,0.141,0.003,0.003,0.02,0,0.011,0,0.16,2.36,0.016,0.006,0.22,0.55,3.72
"Pork, loin cutlet, untrimmed, raw",8.43,0.21,0.662,0.007,0,0.126,0.005,0.004,0.05,0,0.013,0.002,0.05,1.98,0.014,0.005,0.23,0.42,3.73
"Pork, loin cutlet, untrimmed, fried, no added fat",12.4,0.309,0.502,0.011,0,0.185,0.007,0.005,0.06,0,0.017,0.003,0.08,2.88,0.02,0.008,0.34,0.61,5.43
"Pork, loin roast, separable fat, raw",29.41,0.052,0.193,0.002,0.001,0.034,0.001,0.011,0.28,0,0.055,0.004,0.04,0.91,0.002,0.002,0.04,0.27,0.69
"Pork, loin roast, separable fat, baked, no added fat",26.29,0.088,0.261,0.007,0.002,0.118,0.002,0.004,0.02,0,0.06,0.004,0.03,1.3,0.004,0.003,0.08,0.4,1.45
"Pork, loin roast, lean, raw",4.78,0.233,0.738,0.007,0.001,0.134,0.001,0.005,0,0,0.004,0.002,0.06,2.2,0.016,0.004,0.25,0.52,3.7
"Pork, loin roast, lean, baked, no added fat",8.6,0.319,0.614,0.007,0.002,0.163,0.002,0.004,0,0,0.004,0,0.07,2.5,0.026,0.005,0.25,0.57,3.4
"Pork, loin roast, untrimmed, raw",9.43,0.199,0.635,0.006,0.001,0.115,0.001,0.006,0.05,0,0.014,0.002,0.06,1.96,0.013,0.004,0.21,0.47,3.13
"Pork, loin roast, untrimmed, baked, no added fat",10.93,0.288,0.568,0.007,0.002,0.157,0.002,0.004,0,0,0.011,0.001,0.06,2.34,0.023,0.005,0.23,0.55,3.14
"Pork, medallion or loin steak, separable fat, raw",26.42,0.063,0.264,0.002,0,0.05,0.002,0.009,0.3,0,0.055,0.004,0.05,0.91,0.005,0.005,0.08,0.22,1.5
"Pork, medallion or loin steak, separable fat, fried, no added fat",23.07,0.149,0.308,0.004,0,0.103,0.002,0.01,0.24,0,0.06,0.004,0.16,1.3,0.009,0.007,0.18,0.47,3.4
"Pork, medallion or loin steak, lean, raw",4.69,0.241,0.744,0.008,0,0.142,0.006,0.002,0,0,0.004,0.002,0.06,2.2,0.016,0.005,0.26,0.46,4.2
"Pork, medallion or loin steak, lean, fried, no added fat",6.31,0.295,0.654,0.008,0,0.122,0.005,0.003,0,0,0.004,0,0.06,2.5,0.019,0.006,0.29,0.52,4.55
"Pork, medallion or loin steak, untrimmed, raw",6.15,0.229,0.712,0.008,0,0.136,0.005,0.003,0.02,0,0.007,0.002,0.06,2.11,0.015,0.005,0.25,0.44,4.02
"Pork, medallion or loin steak, untrimmed, fried, no added fat",8.91,0.332,0.583,0.008,0,0.197,0.006,0.004,0.02,0,0.01,0.002,0.06,2.76,0.021,0.006,0.35,0.58,4.97
"Pork, mince, untrimmed, raw",7.48,0.209,0.696,0.007,0.002,0.112,0.004,0.005,0.05,0,0.004,0,0.08,1.7,0.022,0.009,0.2,0.58,3.3
"Pork, mince, as purchased, fried, no added fat",8.49,0.259,0.631,0.007,0.001,0.158,0.004,0.006,0.02,0,0.004,0,0.12,1.8,0.03,0.012,0.22,0.59,3.5
"Pork, round mini roast, separable fat, raw",18.42,0.113,0.436,0.003,0.002,0.063,0.002,0.01,0.24,0,0.055,0.005,0.05,1,0.009,0.006,0.12,0.38,2
"Pork, round mini roast, separable fat, baked, no added fat",19.61,0.163,0.384,0.006,0.003,0.055,0.002,0.01,0.19,0,0.06,0.004,0.06,1,0.016,0.015,0.22,0.54,3.45
"Pork, round mini roast, lean, raw",4.44,0.237,0.744,0.009,0.002,0.107,0.003,0.007,0,0,0.004,0.002,0.04,2.4,0.026,0.008,0.24,0.5,3.9
"Pork, round mini roast, lean, baked, no added fat",6.82,0.347,0.638,0.009,0.003,0.114,0.003,0.007,0,0,0.004,0,0.06,2.5,0.037,0.014,0.27,0.54,4.35
"Pork, round mini roast, untrimmed, raw",4.72,0.234,0.738,0.008,0.002,0.106,0.003,0.007,0,0,0.005,0.002,0.04,2.37,0.026,0.008,0.24,0.5,3.86
"Pork, round mini roast, untrimmed, baked, no added fat",6.99,0.345,0.635,0.009,0.003,0.113,0.003,0.007,0,0,0.005,0,0.06,2.48,0.037,0.014,0.27,0.54,4.34
"Pork, round steak, lean, raw",4.16,0.221,0.745,0.012,0,0.141,0.007,0.002,0,0,0.004,0.002,0.04,2.4,0.02,0.009,0.25,0.48,3.85
"Pork, round steak, lean, fried, no added fat",5.63,0.294,0.662,0.012,0,0.162,0.006,0.004,0,0,0.004,0,0.05,2.5,0.029,0.011,0.25,0.51,3.9
"Pork, rump steak, lean, raw",5.08,0.253,0.736,0.011,0.001,0.165,0.007,0.002,0,0,0.004,0.002,0.05,2.4,0.017,0.008,0.25,0.5,3.65
"Pork, rump steak, lean, fried, no added fat",6.27,0.286,0.657,0.011,0.001,0.11,0.006,0.004,0,0,0.004,0,0.05,2.5,0.024,0.009,0.26,0.52,3.8
"Pork, rump steak, untrimmed, raw",5.68,0.248,0.722,0.011,0.001,0.162,0.007,0.002,0.01,0,0.006,0.002,0.05,2.36,0.017,0.008,0.24,0.49,3.58
"Pork, rump steak, untrimmed, fried, no added fat",8.36,0.365,0.591,0.011,0.001,0.238,0.008,0.003,0.01,0,0.007,0.002,0.05,3.12,0.025,0.01,0.34,0.65,4.48
"Pork, scotch roast, separable fat, raw",21.24,0.107,0.381,0.003,0.001,0.059,0.002,0.01,0.17,0,0.055,0.003,0.08,1.1,0.01,0.006,0.1,0.3,1.9
"Pork, scotch roast, separable fat, baked, no added fat",20.76,0.122,0.376,0.004,0.001,0.066,0.001,0.01,0.05,0,0.06,0,0.09,2.4,0.015,0.009,0.14,0.41,2.8
"Pork, scotch roast, lean, raw",6.31,0.206,0.73,0.007,0.002,0.137,0.004,0.007,0,0,0.004,0.003,0.04,2.2,0.027,0.008,0.2,0.49,3.55
"Pork, scotch roast, lean, baked, no added fat",9.64,0.306,0.589,0.005,0.003,0.142,0.002,0.009,0,0,0.004,0,0.08,2.4,0.046,0.014,0.25,0.57,4.3
"Pork, scotch roast, untrimmed, raw",8.93,0.189,0.669,0.006,0.002,0.123,0.003,0.007,0.03,0,0.013,0.003,0.05,2.01,0.024,0.007,0.18,0.46,3.26
"Pork, scotch roast, untrimmed, baked, no added fat",10.24,0.296,0.577,0.005,0.003,0.138,0.002,0.009,0,0,0.007,0,0.08,2.4,0.044,0.013,0.24,0.56,4.22
"Pork, silverside steak, lean, raw",4.56,0.225,0.744,0.01,0.001,0.155,0.005,0.005,0,0,0.004,0.002,0.04,2.4,0.019,0.008,0.26,0.53,4.1
"Pork, silverside steak, lean, fried, no added fat",5.85,0.279,0.66,0.009,0.001,0.145,0.005,0.005,0,0,0.004,0,0.05,2.5,0.026,0.01,0.28,0.59,4.25
"Pork, silverside steak, untrimmed, raw",4.75,0.224,0.74,0.01,0.001,0.154,0.005,0.005,0,0,0.004,0.002,0.04,2.39,0.018,0.008,0.26,0.53,4.08
"Pork, spare ribs, untrimmed, raw",11.98,0.181,0.573,0.006,0.001,0.087,0.003,0.005,0.06,0,0.021,0.002,0.12,1.77,0.01,0.004,0.19,0.43,3.2
"Pork, spare ribs, untrimmed, baked, no added fat",16.63,0.274,0.394,0.005,0.002,0.132,0.003,0.006,0.04,0,0.026,0.003,0.17,2.33,0.015,0.006,0.22,0.54,3.96
"Pork, strips, untrimmed, raw",4.66,0.224,0.744,0.009,0.002,0.143,0.005,0.004,0,0,0.004,0.002,0.04,2.2,0.021,0.008,0.26,0.46,3.85
"Pork, strips, untrimmed, fried, no added fat",6.23,0.312,0.648,0.011,0.002,0.172,0.003,0.006,0,0,0.004,0,0.05,2.7,0.027,0.009,0.33,0.58,4.7
"Pork, topside steak, lean, raw",4.82,0.24,0.742,0.012,0.001,0.148,0.006,0.001,0,0,0.004,0.002,0.04,2.4,0.015,0.007,0.25,0.48,3.7
"Pork, topside steak, lean, fried, no added fat",5.82,0.292,0.662,0.013,0.001,0.102,0.006,0.006,0,0,0.004,0,0.05,2.5,0.022,0.009,0.3,0.55,4.4
"Pork, topside steak, untrimmed, fried, no added fat",5.83,0.292,0.662,0.012,0.001,0.102,0.006,0.006,0,0,0.004,0,0.05,2.5,0.022,0.009,0.29,0.55,4.4
"Chicken, barbecued, with skin",8.06,0.275,0.626,0,0.005,0.117,0.004,0.002,0.24,0,0.064,0,0.1,2.7,0.008,0.005,0.28,4.3,3.1
"Chicken, breast, lean flesh, raw",4.12,0.225,0.756,0.001,0,0.142,0.005,0.001,0.04,0,0.037,0.005,0.04,2.4,0.005,0.003,0.31,0.48,3.9
"Chicken, breast, lean flesh, baked, no added fat",6.37,0.29,0.661,0.001,0.001,0.177,0.002,0.002,0.07,0,0.06,0.002,0.09,2.8,0.008,0.005,0.3,0.46,3.2
"Chicken, breast, lean flesh, grilled, no added fat",5.98,0.298,0.662,0.001,0,0.113,0.002,0.005,0,0,0.06,0.001,0.05,2.6,0.007,0.004,0.3,0.43,3.75
"Chicken, breast, lean flesh, fried, no added fat",6.63,0.345,0.641,0.001,0.001,0.223,0.004,0.002,0.06,0,0.06,0.004,0.05,2.85,0.007,0.004,0.38,0.55,4.45
"Chicken, breast, lean flesh, casseroled, no added fat",5.96,0.27,0.667,0.001,0.001,0.172,0.003,0.002,0.05,0,0.06,0.002,0.11,2.6,0.009,0.004,0.28,0.41,2.7
"Chicken, breast, lean flesh, skin & fat, raw",6.66,0.202,0.697,0.001,0.001,0.124,0.004,0.002,0.24,0,0.043,0.005,0.06,2.12,0.005,0.003,0.27,0.46,3.38
"Chicken, breast, lean flesh, skin & fat, baked, no added fat",7.85,0.277,0.63,0,0.001,0.167,0.002,0.003,0.2,0,0.061,0.004,0.13,2.71,0.009,0.006,0.29,0.48,3.03
"Chicken, breast, lean flesh, skin & fat, casseroled, no added fat",7.01,0.26,0.647,0,0.001,0.164,0.003,0.003,0.14,0,0.061,0.003,0.11,2.5,0.009,0.004,0.27,0.41,2.58
"Chicken, drumstick, lean flesh, raw",4.92,0.185,0.757,0.001,0.001,0.093,0.003,0.007,0.16,0,0.037,0.003,0.1,2,0.017,0.006,0.22,0.71,2.6
"Chicken, drumstick, lean flesh, baked, no added fat",8.3,0.299,0.575,0.001,0.002,0.142,0.002,0.007,0.27,0,0.06,0.001,0.24,2.1,0.028,0.016,0.26,1.2,3
"Chicken, drumstick, lean flesh, casseroled, no added fat",7.3,0.286,0.644,0.002,0.003,0.106,0.002,0.007,0.16,0,0.06,0.007,0.17,2.2,0.024,0.009,0.23,0.74,2.2
"Chicken, drumstick, lean flesh, skin & fat, raw",6.45,0.176,0.718,0.001,0.001,0.086,0.003,0.007,0.29,0,0.041,0.004,0.1,1.86,0.016,0.006,0.2,0.67,2.4
"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat",9.79,0.285,0.55,0.001,0.002,0.136,0.002,0.007,0.41,0,0.062,0.003,0.28,2.14,0.026,0.015,0.25,1.13,2.85
"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat",8.73,0.269,0.616,0.002,0.003,0.101,0.002,0.007,0.28,0,0.062,0.008,0.16,2.1,0.022,0.009,0.22,0.7,2.08
"Chicken, mince, raw",4.04,0.214,0.762,0.002,0.001,0.125,0.003,0.003,0.05,0,0.037,0.006,0.04,2.2,0.007,0.004,0.28,0.49,3.6
"Chicken, mince, fried, no added fat",5.32,0.281,0.687,0.001,0.001,0.164,0.004,0.003,0.05,0,0.044,0.006,0.06,2.32,0.009,0.005,0.28,0.52,3.79
"Chicken, schnitzel, baked without fat",8.68,0.165,0.572,0.001,0,0.083,0.001,0.001,0.06,0,0,0.018,0.08,2.04,0.006,0.005,0.25,5.29,3.32
"Chicken, nugget, purchased frozen, baked, no added fat",11.72,0.128,0.475,0.001,0.001,0.093,0.005,0.002,0.28,0,0.044,0.004,0.13,2,0.009,0.007,0.2,9.2,1.8
"Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",11.04,0.131,0.484,0.001,0.001,0.093,0.005,0.002,0.28,0,0.044,0.008,0.13,2,0.009,0.007,0.2,7.4,1.8
"Chicken, nugget, purchased from fast food chain, grilled",8.18,0.148,0.548,0.001,0.001,0.096,0.005,0.002,0.28,0,0.044,0.004,0.13,2,0.009,0.007,0.2,4.34,1.8
"Chicken, separable fat, composite, raw",23.92,0.051,0.311,0,0.001,0.031,0.001,0.007,1.15,0,0.069,0.004,0.09,0.52,0.003,0.007,0.05,0.22,0.63
"Chicken, separable fat, composite, cooked, no added fat",20.36,0.043,0.414,0,0.001,0.026,0.001,0.003,0.73,0,0.053,0.003,0.06,0.31,0.003,0.005,0.03,0.13,0.32
"Chicken, skin, composite, raw",15.15,0.127,0.494,0,0.001,0.047,0.001,0.007,1.1,0,0.069,0.008,0.13,0.99,0.007,0.007,0.08,0.43,1.2
"Chicken, skin, composite, baked, no added fat",18.18,0.223,0.399,0,0.002,0.108,0.002,0.007,1.3,0,0.076,0.021,0.54,2.6,0.015,0.012,0.25,0.78,2.2
"Chicken, skin, composite, casseroled, no added fat",17.42,0.18,0.442,0,0.001,0.079,0.007,0.007,1.1,0,0.076,0.017,0.13,1.6,0.011,0.009,0.17,0.51,1.5
"Chicken, thigh, lean flesh, raw",4.36,0.191,0.772,0.001,0.001,0.082,0.002,0.004,0.13,0,0.037,0.014,0.06,1.8,0.014,0.006,0.24,0.64,3.2
"Chicken, thigh, lean flesh, baked, no added fat",7.33,0.242,0.656,0.001,0.003,0.116,0.003,0.007,0.24,0,0.06,0.004,0.18,2.4,0.02,0.009,0.26,0.76,2.9
"Chicken, thigh, lean flesh, fried, no added fat",6.62,0.276,0.66,0.001,0.001,0.119,0.001,0.003,0.1,0,0.06,0.015,0.08,2.6,0.02,0.008,0.35,0.84,4.4
"Chicken, thigh, lean flesh, casseroled, no added fat",8.1,0.263,0.631,0.001,0.002,0.111,0.003,0.007,0.17,0,0.06,0.005,0.15,2.1,0.021,0.009,0.22,0.62,2.3
"Chicken, thigh, lean flesh, skin & fat, raw",8.98,0.16,0.659,0.001,0.001,0.069,0.002,0.005,0.44,0,0.047,0.012,0.07,1.48,0.011,0.006,0.19,0.54,2.5
"Chicken, thigh, lean flesh, skin & fat, baked, no added fat",9.47,0.23,0.608,0,0.003,0.111,0.003,0.007,0.41,0,0.062,0.006,0.22,2.33,0.019,0.009,0.25,0.73,2.68
"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat",10.04,0.241,0.593,0.001,0.002,0.102,0.003,0.007,0.33,0,0.062,0.006,0.14,1.94,0.019,0.009,0.2,0.58,2.09
"Chicken, wing, lean flesh, raw",4.7,0.187,0.748,0.001,0.001,0.123,0.005,0.007,0.37,0,0.06,0.003,0.13,2,0.011,0.004,0.22,0.66,2.3
"Chicken, wing, lean flesh, baked, no added fat",8.1,0.309,0.605,0,0.002,0.161,0.004,0.007,0.21,0,0.06,0.004,0.13,2.4,0.019,0.007,0.24,0.84,2.7
"Chicken, wing, lean flesh, casseroled, no added fat",8,0.279,0.626,0.001,0.003,0.125,0.003,0.007,0.22,0,0.06,0.006,0.13,1.9,0.016,0.007,0.2,0.7,2
"Chicken, wing, lean flesh, skin & fat, raw",9.17,0.161,0.64,0,0.001,0.092,0.004,0.007,0.67,0,0.064,0.005,0.13,1.57,0.009,0.005,0.16,0.56,1.84
"Chicken, wing, lean flesh, skin & fat, baked, no added fat",11,0.281,0.547,0,0.002,0.145,0.003,0.007,0.51,0,0.064,0.008,0.24,2.41,0.018,0.008,0.24,0.81,2.52
"Chicken, wing, lean flesh, skin & fat, casseroled, no added fat",10.67,0.249,0.574,0,0.002,0.111,0.004,0.007,0.46,0,0.064,0.009,0.13,1.79,0.014,0.008,0.19,0.64,1.84
"Turkey, breast, lean flesh, raw",4.9,0.216,0.73,0.001,0.001,0.126,0.003,0.006,0.21,0,0.037,0.003,0.07,2.2,0.013,0.004,0.25,2.4,3.7
"Turkey, breast, lean flesh, baked, no added fat",6.48,0.294,0.646,0.001,0.001,0.125,0.001,0.007,0.86,0,0.06,0.004,0.08,2.4,0.019,0.006,0.26,2.1,3.3
"Turkey, breast, lean flesh, skin & fat, raw",6.63,0.204,0.692,0.001,0.001,0.118,0.003,0.006,0.31,0,0.021,0.003,0.07,2.02,0.013,0.006,0.23,2.17,3.36
"Turkey, breast, lean flesh, skin & fat, baked, no added fat",8.09,0.277,0.609,0.001,0.001,0.122,0.001,0.008,0.86,0,0.022,0.004,0.08,2.27,0.018,0.007,0.24,1.99,3.17
"Turkey, hindquarter, lean flesh, raw",5.1,0.184,0.741,0.001,0.001,0.08,0.001,0.014,0.55,0.02,0.037,0.006,0.07,1.9,0.036,0.012,0.2,2.6,3.1
"Turkey, hindquarter, lean flesh, baked, no added fat",7.14,0.268,0.633,0.001,0.003,0.101,0,0.024,0.25,0.02,0.06,0.002,0.09,2.1,0.045,0.021,0.21,1.7,3.2
"Turkey, hindquarter, lean flesh, skin & fat, raw",7.82,0.186,0.664,0.001,0.001,0.081,0.001,0.015,0.62,0.02,0.021,0.006,0.1,1.84,0.031,0.013,0.19,2.37,2.93
"Turkey, hindquarter, lean flesh, skin & fat, baked, no added fat",9.11,0.256,0.585,0.001,0.003,0.098,0,0.023,0.36,0.02,0.025,0.002,0.1,2.02,0.04,0.02,0.2,1.65,3.04
"Duck, lean flesh, raw",5.06,0.178,0.751,0.003,0.002,0.083,0.001,0.007,0.18,0,0.037,0.005,0.07,1.7,0.02,0.018,0.19,0.91,2.7
"Duck, breast, lean, raw",3.83,0.212,0.775,0.004,0.003,0.097,0.002,0.02,0,0,0.06,0.009,0.04,2.3,0.011,0.032,0.26,0.6,3.8
"Duck, breast, lean, fried, no added fat",5.04,0.28,0.704,0.003,0.003,0.128,0.002,0.019,0,0,0.071,0.01,0.05,2.42,0.015,0.038,0.26,0.63,4
"Duck, lean flesh, baked, no added fat",7.65,0.243,0.645,0.003,0.003,0.098,0.001,0.011,0.21,0,0.06,0.004,0.26,2,0.029,0.026,0.2,0.95,2.5
"Duck, skin & fat, raw",23.52,0.095,0.285,0,0.001,0.031,0,0.004,0.89,0,0.069,0.001,0.03,0.41,0.005,0.005,0.04,0.34,0.7
"Duck, skin & fat, baked, no added fat",20.16,0.134,0.359,0.001,0.001,0.056,0,0.013,0.89,0,0.059,0.004,0.03,2.2,0.013,0.013,0.15,0.6,1.3
"Duck, lean flesh, skin & fat, raw",15.85,0.13,0.478,0.002,0.001,0.053,0.001,0.005,0.6,0,0.056,0.003,0.05,0.94,0.011,0.01,0.1,0.58,1.53
"Duck, lean flesh, skin & fat, baked, no added fat",21.14,0.173,0.305,0.001,0.001,0.071,0.001,0.005,0.6,0,0.067,0.003,0.06,1.01,0.015,0.012,0.1,0.62,1.63
"Quail, lean flesh & skin, raw",7.22,0.185,0.698,0.001,0.005,0.112,0.007,0.012,0.2,0,0.087,0.008,0.06,2.1,0.007,0.013,0.24,0.45,5
"Quail, lean flesh & skin, baked, no added fat",8.26,0.277,0.614,0.001,0.006,0.143,0.006,0.018,0.2,0,0.068,0.004,0.16,2.8,0.013,0.018,0.31,0.58,3.7
"Buffalo, swamp, cube roll, raw",5.07,0.244,0.732,0,0.002,0.093,0.005,0.017,0.02,0,0.038,0.009,0.03,1.92,0.019,0.024,0.24,0.45,2.97
"Buffalo, swamp, topside, raw",4.48,0.246,0.746,0,0.002,0.094,0.005,0.017,0.02,0,0.007,0.009,0.04,2.06,0.019,0.033,0.25,0.41,2.97
"Buffalo, riverine, cube roll, raw",6.5,0.239,0.703,0,0.002,0.093,0.005,0.017,0.02,0,0.038,0.009,0.06,1.9,0.019,0.023,0.24,0.56,2.97
"Buffalo, riverine, topside, raw",4.96,0.244,0.742,0,0.002,0.093,0.005,0.017,0.02,0,0.007,0.009,0.05,1.99,0.019,0.027,0.24,0.56,2.97
"Camel, steak, as purchased, raw",5.14,0.208,0.75,0,0.002,0.104,0.001,0.013,0,0,0.027,0.002,0.04,1.88,0.034,0.021,0.2,0.53,3.5
"Camel, steak, as purchased, fried, no added fat",7.9,0.32,0.616,0,0.002,0.16,0.001,0.016,0,0,0.037,0.003,0.06,2.6,0.052,0.03,0.26,0.69,4.58
"Camel, cube roll, raw",6.3,0.203,0.721,0,0.002,0.088,0.005,0.017,0.02,0,0.027,0.009,0.04,1.8,0.019,0.019,0.18,0.46,2.97
"Camel, rump, raw",4.75,0.214,0.759,0,0.002,0.089,0.005,0.017,0.02,0,0.027,0.009,0.04,1.93,0.019,0.022,0.21,0.52,2.97
"Crocodile, steak, as purchased, raw",4.06,0.206,0.779,0,0,0.074,0.001,0.002,0,0,0.027,0,0.06,1.8,0.018,0.004,0.22,0.53,3.5
"Crocodile, steak, as purchased, fried, no added fat",6.77,0.344,0.632,0,0,0.123,0.001,0.002,0,0,0.041,0,0.1,3,0.03,0.007,0.37,0.88,5.83
"Crocodile, back leg, raw",4.55,0.22,0.761,0.001,0.001,0.126,0.006,0.006,0.21,0,0.027,0.003,0.06,1.82,0.013,0.003,0.2,0.7,3.7
"Crocodile, tail fillet, raw",4.42,0.225,0.762,0.001,0.001,0.127,0.003,0.006,0.21,0,0.027,0.003,0.06,1.95,0.013,0,0.22,0.51,3.7
"Emu, steak, as purchased, raw",4.9,0.234,0.742,0.002,0.003,0.101,0.001,0.046,0,0,0.037,0,0.04,2.28,0.023,0.039,0.26,0.5,3.5
"Emu, steak, as purchased, fried, no added fat",6.44,0.308,0.661,0.001,0.003,0.133,0.001,0.044,0,0,0.044,0,0.05,2.4,0.03,0.046,0.26,0.53,3.68
"Emu, fan fillet, raw",4.86,0.247,0.743,0.001,0,0.102,0.006,0.067,0,0,0.037,0.002,0.04,2.36,0.003,0.036,0.27,0.43,3.47
"Kangaroo, steak, as purchased, raw",4.26,0.225,0.758,0.001,0.002,0.084,0.002,0.012,0,0,0.022,0.003,0.04,1.9,0.026,0.031,0.23,0.4,3.5
"Kangaroo, steak, as purchased, fried, no added fat",6.55,0.346,0.627,0.001,0.003,0.129,0.001,0.014,0,0,0.031,0.004,0.06,2.63,0.04,0.045,0.3,0.52,4.58
"Kangaroo, tail, raw",3.81,0.2,0.775,0,0.001,0.062,0.004,0.009,0.11,0,0.024,0,0.13,1.2,0.056,0.017,0.15,1.4,2.1
